n,AssignmentsBubblesort,ComparisonsBubblesort,totalOperationsBubblesort,n,AssignmentsInsertionsort,ComparisonsInsertionsort,totalOperationsInsertionsort,n,AssignmentsSelectionsort,ComparisonsSelectionsort,totalOperationsSelectionsort
100,14850,4950,19800,100,5148,5049,10197,100,150,5049,5199
200,59700,19900,79600,200,20298,20099,40397,200,300,20099,20399
300,134550,44850,179400,300,45448,45149,90597,300,450,45149,45599
400,239400,79800,319200,400,80598,80199,160797,400,600,80199,80799
500,374250,124750,499000,500,125748,125249,250997,500,750,125249,125999
600,539100,179700,718800,600,180898,180299,361197,600,900,180299,181199
700,733950,244650,978600,700,246048,245349,491397,700,1050,245349,246399
800,958800,319600,1278400,800,321198,320399,641597,800,1200,320399,321599
900,1213650,404550,1618200,900,406348,405449,811797,900,1350,405449,406799
1000,1498500,499500,1998000,1000,501498,500499,1001997,1000,1500,500499,501999
1100,1813350,604450,2417800,1100,606648,605549,1212197,1100,1650,605549,607199
1200,2158200,719400,2877600,1200,721798,720599,1442397,1200,1800,720599,722399
1300,2533050,844350,3377400,1300,846948,845649,1692597,1300,1950,845649,847599
1400,2937900,979300,3917200,1400,982098,980699,1962797,1400,2100,980699,982799
1500,3372750,1124250,4497000,1500,1127248,1125749,2252997,1500,2250,1125749,1127999
1600,3837600,1279200,5116800,1600,1282398,1280799,2563197,1600,2400,1280799,1283199
1700,4332450,1444150,5776600,1700,1447548,1445849,2893397,1700,2550,1445849,1448399
1800,4857300,1619100,6476400,1800,1622698,1620899,3243597,1800,2700,1620899,1623599
1900,5412150,1804050,7216200,1900,1807848,1805949,3613797,1900,2850,1805949,1808799
2000,5997000,1999000,7996000,2000,2002998,2000999,4003997,2000,3000,2000999,2003999
2100,6611850,2203950,8815800,2100,2208148,2206049,4414197,2100,3150,2206049,2209199
2200,7256700,2418900,9675600,2200,2423298,2421099,4844397,2200,3300,2421099,2424399
2300,7931550,2643850,10575400,2300,2648448,2646149,5294597,2300,3450,2646149,2649599
2400,8636400,2878800,11515200,2400,2883598,2881199,5764797,2400,3600,2881199,2884799
2500,9371250,3123750,12495000,2500,3128748,3126249,6254997,2500,3750,3126249,3129999
2600,10136100,3378700,13514800,2600,3383898,3381299,6765197,2600,3900,3381299,3385199
2700,10930950,3643650,14574600,2700,3649048,3646349,7295397,2700,4050,3646349,3650399
2800,11755800,3918600,15674400,2800,3924198,3921399,7845597,2800,4200,3921399,3925599
