n,AssignmentsBubblesort,ComparisonsBubblesort,totalOperationsBubblesort,n,AssignmentsInsertionsort,ComparisonsInsertionsort,totalOperationsInsertionsort,n,AssignmentsSelectionsort,ComparisonsSelectionsort,totalOperationsSelectionsort
100,222,254,476,100,272,173,445,100,12,5049,5061
200,5043,3515,8558,200,1098,899,1997,200,166,20099,20265
300,10983,7615,18598,300,1323,1024,2347,300,29,45149,45178
400,19293,12917,32210,400,2858,2459,5317,400,39,80199,80238
500,21205,14181,35386,500,3810,3311,7121,500,148,125249,125397
600,19485,19834,39319,600,5919,5320,11239,600,177,180299,180476
700,33253,24486,57739,700,5884,5185,11069,700,69,245349,245418
800,39764,27116,66880,800,9983,9184,19167,800,79,320399,320478
900,52773,36419,89192,900,9778,8879,18657,900,89,405449,405538
1000,24445,26777,51222,1000,10021,9022,19043,1000,99,500499,500598
1100,30699,23660,54359,1100,12010,10911,22921,1100,109,605549,605658
1200,35963,24836,60799,1200,14517,13318,27835,1200,169,720599,720768
1300,29918,34029,63947,1300,16554,15255,31809,1300,129,845649,845778
1400,90230,66940,157170,1400,19098,17699,36797,1400,344,980699,981043
1500,81142,101780,182922,1500,22095,20596,42691,1500,148,1125749,1125897
1600,95086,80472,175558,1600,24591,22992,47583,1600,318,1280799,1281117
1700,145475,102022,247497,1700,48471,46772,95243,1700,169,1445849,1446018
1800,147402,135461,282863,1800,35378,33579,68957,1800,537,1620899,1621436
1900,152372,111000,263372,1900,33247,31348,64595,1900,189,1805949,1806138
2000,165759,120277,286036,2000,106559,104560,211119,2000,199,2000999,2001198
2100,197559,146292,343851,2100,41066,38967,80033,2100,209,2206049,2206258
2200,122434,144531,266965,2200,44435,42236,86671,2200,219,2421099,2421318
2300,222473,191070,413543,2300,48785,46486,95271,2300,458,2646149,2646607
2400,136981,205461,342442,2400,51720,49321,101041,2400,238,2881199,2881437
2500,155569,107132,262701,2500,57240,54741,111981,2500,249,3126249,3126498
2600,273385,231053,504438,2600,61315,58716,120031,2600,259,3381299,3381558
2700,284600,212081,496681,2700,74810,72111,146921,2700,538,3646349,3646887
2800,202413,243653,446066,2800,73027,70228,143255,2800,557,3921399,3921956
2900,336285,264597,600882,2900,85961,83062,169023,2900,577,4206449,4207026
3000,356480,291241,647721,3000,80362,77363,157725,3000,820,4501499,4502319
3100,242938,164394,407332,3100,87777,84678,172455,3100,308,4806549,4806857
3200,375912,307532,683444,3200,103285,100086,203371,3200,637,5121599,5122236
3300,210367,229613,439980,3300,96818,93519,190337,3300,329,5446649,5446978
3400,181545,277679,459224,3400,105937,102538,208475,3400,339,5781699,5782038
3500,261041,242653,503694,3500,108052,104553,212605,3500,349,6126749,6127098
3600,478501,381931,860432,3600,113808,110209,224017,3600,378,6481799,6482177
3700,363850,400827,764677,3700,121460,117761,239221,3700,738,6846849,6847587
3800,181328,349202,530530,3800,128852,125053,253905,3800,379,7221899,7222278
3900,393865,385491,779356,3900,135263,131364,266627,3900,389,7606949,7607338
4000,456502,438095,894597,4000,159892,155893,315785,4000,795,8001999,8002794
4100,541609,498938,1040547,4100,163744,159645,323389,4100,409,8407049,8407458
4200,526282,503993,1030275,4200,203076,198877,401953,4200,838,8822099,8822937
4300,448673,364173,812846,4300,165221,160922,326143,4300,429,9247149,9247578
4400,671431,587793,1259224,4400,171095,166696,337791,4400,876,9682199,9683075
4500,673541,635915,1309456,4500,197239,192740,389979,4500,895,10127249,10128144
4600,687301,620745,1308046,4600,232255,227656,459911,4600,912,10582299,10583211
