n,Heapsort,Quicksort
1000,49540,29705
1100,55340,29342
1200,61220,32813
1300,67330,40332
1400,73220,40413
1500,79240,49510
1600,84910,52353
1700,91200,54044
1800,97140,58154
1900,103200,60659
2000,108500,72144
2100,115410,68088
2200,121920,80263
2300,128450,84518
2400,134990,84426
2500,141570,97920
2600,148120,102601
2700,154600,111916
2800,161160,130306
2900,167660,134019
3000,174260,139353
3100,180810,133882
3200,187340,149166
3300,193810,152865
3400,200450,163078
3500,206990,172021
3600,213540,189017
3700,220060,199750
3800,226590,199172
3900,233090,216951
4000,239710,223725
4100,246230,245815
4200,253270,257246
4300,260340,279308
4400,267370,265625
4500,274410,285298
4600,281460,343219
4700,288440,305466
4800,295530,355774
4900,302600,347013
5000,309660,332612
5100,316710,359815
5200,323750,376496
5300,330820,398366
5400,337920,447544
5500,344920,434741
5600,351920,437535
5700,359060,440000
5800,366060,460252
5900,373090,484535
6000,380140,500442
6100,387240,502976
6200,394280,517163
6300,401290,531716
6400,408420,577420
6500,415510,550206
6600,422470,570694
6700,429490,597933
6800,436540,597087
6900,443680,628772
7000,450820,665401
7100,457730,703154
7200,464750,711680
7300,471830,717972
7400,478880,738316
7500,485950,735201
7600,492950,773023
7700,500010,828508
7800,507070,802577
7900,514120,823331
8000,521190,865290
8100,528240,863215
8200,535300,874795
8300,542760,883798
8400,550210,935903
8500,557690,930095
8600,565160,947990
8700,572650,975327
8800,580050,963305
8900,587620,1016561
9000,595110,1040608
9100,602560,1101822
9200,610040,1077934
9300,617430,1077207
9400,624910,1152581
9500,632400,1160410
9600,639850,1158391
9700,647320,1195307
9800,654750,1185180
9900,662340,1216246
10000,669780,1270176
10100,677280,1247998
10200,684740,1304864
10300,692150,1399891
10400,699670,1399841
10500,707060,1374969
10600,714560,1388325
10700,722010,1424737
10800,729480,1430339
10900,736980,1510110
11000,744430,1472662
11100,751940,1529164
11200,759370,1543986
11300,766870,1563975
11400,774330,1549932
11500,781800,1661688
11600,789230,1630050
11700,796730,1691279
11800,804190,1719940
11900,811690,1721750
12000,819160,1799758
12100,826730,1771859
12200,834220,1845892
12300,841580,1902930
12400,848990,1849312
12500,856520,1935528
12600,863950,1933857
12700,871420,1922981
12800,878850,1972494
12900,886360,2014225
13000,893790,2022031
13100,901370,2056323
13200,908820,2105405
13300,916250,2143402
13400,923690,2127004
13500,931160,2195890
13600,938630,2189735
13700,946110,2245459
13800,953540,2318596
13900,961050,2290916
14000,968560,2342154
14100,976010,2409658
14200,983470,2412210
14300,991040,2423627
14400,998400,2479081
14500,1005820,2468246
14600,1013320,2559745
14700,1020780,2536088
14800,1028210,2554874
14900,1035730,2633251
15000,1043220,2667683
15100,1050710,2672238
15200,1058130,2731581
15300,1065650,2877514
15400,1073140,2864936
15500,1080560,2853839
15600,1088010,2936299
15700,1095510,2869257
15800,1102990,2979542
15900,1110540,2991559
16000,1117900,2979816
16100,1125420,3021964
16200,1132840,3037844
16300,1140410,3080599
16400,1147930,3141828
16500,1155710,3161194
16600,1163400,3181967
16700,1171610,3249689
16800,1179510,3274665
16900,1187560,3309159
17000,1195480,3421360
17100,1203450,3385203
17200,1211400,3402085
17300,1219360,3445313
17400,1227360,3487958
17500,1235300,3563431
17600,1243240,3565441
17700,1251260,3610079
17800,1259190,3629443
17900,1267180,3703662
18000,1275140,3760468
18100,1283100,3770176
18200,1291040,3854093
18300,1299070,3826103
18400,1307020,3945812
18500,1314980,3953217
18600,1322960,3946677
18700,1330810,4141268
18800,1338720,4085591
18900,1346810,4128807
19000,1354690,4143147
19100,1362700,4213866
19200,1370670,4192915
19300,1378690,4216213
19400,1386560,4304756
19500,1394510,4355238
19600,1402530,4376882
19700,1410500,4402963
19800,1418430,4476140
19900,1426460,4497550
20000,1434390,4521356
20100,1442390,4554069
20200,1450290,4732210
