n,nrOp
100,1260
200,2622
300,4676
400,5813
500,6539
600,8149
700,8927
800,10785
900,14234
1000,16781
1100,16938
1200,17601
1300,20571
1400,23631
1500,23501
1600,24326
1700,28454
1800,25213
1900,30810
2000,28928
2100,33310
2200,34705
2300,40717
2400,39892
2500,39629
2600,42348
2700,44240
2800,47687
2900,46631
3000,48112
3100,52612
3200,53770
3300,55655
3400,62845
3500,65462
3600,54877
3700,65294
3800,61750
3900,59715
4000,59432
4100,64727
4200,69411
4300,73668
4400,73236
4500,79955
4600,73805
4700,77908
4800,80822
4900,76423
5000,81815
5100,87269
5200,91081
5300,91187
5400,97548
5500,92215
5600,102574
5700,105406
5800,97758
5900,94321
6000,107053
6100,115854
6200,99093
6300,106540
6400,103401
6500,108977
6600,122802
6700,111179
6800,120040
6900,128143
7000,122664
7100,132542
7200,116024
7300,131297
7400,119093
7500,127078
7600,134437
7700,130638
7800,139130
7900,140545
8000,136429
8100,133131
8200,136516
8300,146128
8400,132725
8500,138657
8600,152885
8700,150279
8800,165591
8900,167409
9000,166617
9100,172198
9200,161806
9300,158760
9400,160824
9500,164173
9600,158034
9700,179947
9800,184943
9900,162600
10000,178361
